WIN_20240407_15_51_59_Pro.mp4
start_frame,10.0,57.0,105.0,263.0,305.0,350.0,402.0,431.0,467.0,505.0,550.0,577.0
end_frame,30.0,83.0,131.0,277.0,323.0,374.0,416.0,451.0,493.0,527.0,564.0,598.0
WIN_20240407_15_54_56_Pro.mp4
start_frame,17.0,66.0,124.0,183.0,234.0,285.0,551.0,594.0,632.0,668.0,703.0
end_frame,39.0,90.0,154.0,206.0,259.0,306.0,575.0,617.0,654.0,688.0,720.0
WIN_20240407_16_02_51_Pro.mp4
start_frame,12.0,66.0,118.0,175.0,229.0,287.0,340.0,377.0,423.0,453.0,496.0,530.0
end_frame,42.0,92.0,145.0,203.0,259.0,309.0,367.0,398.0,440.0,476.0,519.0,554.0
WIN_20240407_16_03_21_Pro.mp4
start_frame,8.0,62.0,118.0,189.0,252.0,305.0,367.0,404.0,443.0,487.0,527.0,564.0
end_frame,35.0,87.0,144.0,217.0,275.0,332.0,390.0,431.0,470.0,511.0,550.0,584.0
WIN_20240407_16_03_48_Pro.mp4
start_frame,193.0,240.0,291.0,337.0,387.0,440.0,483.0,529.0,571.0,611.0,650.0,684.0
end_frame,216.0,263.0,317.0,363.0,413.0,465.0,514.0,556.0,596.0,632.0,670.0,711.0
WIN_20240407_16_04_17_Pro.mp4
start_frame,6.0,73.0,124.0,179.0,237.0,285.0,334.0,368.0,407.0,446.0,488.0,518.0
end_frame,47.0,100.0,152.0,204.0,254.0,309.0,357.0,392.0,429.0,469.0,506.0,551.0
WIN_20240407_16_04_41_Pro.mp4
start_frame,92.0,151.0,202.0,246.0,297.0,352.0,405.0,442.0,479.0,517.0,558.0,592.0
end_frame,117.0,173.0,224.0,271.0,324.0,375.0,429.0,463.0,499.0,540.0,580.0,613.0
WIN_20240407_16_05_08_Pro.mp4
start_frame,15.0,75.0,121.0,170.0,231.0,282.0,325.0,364.0,402.0,435.0,470.0,505.0
end_frame,41.0,92.0,144.0,201.0,253.0,305.0,351.0,385.0,420.0,455.0,492.0,525.0
WIN_20240407_16_13_01_Pro.mp4
start_frame,23.0,67.0,111.0,161.0,213.0,265.0,310.0,341.0,373.0,414.0,443.0,480.0
end_frame,42.0,88.0,134.0,180.0,231.0,280.0,328.0,362.0,399.0,431.0,468.0,504.0
WIN_20240407_16_13_24_Pro.mp4
